// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01
// command took 2.17s and exited with 0
// ***** Done, took 00:00:03 (3.6 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "f03f4492-eb05-4dff-b8d5-34420fbc6e01.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-DYHPOY(IterationCount=3, LaunchCount=1, WarmupCount=1)

// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MALOKU(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 314660.00 ns, 314.6600 us/op

System.Reflection.TargetInvocationException: Exception has been thrown by the target of an invocation.
 ---> Npgsql.NpgsqlException (0x80004005): Unknown message code: 147
   at Npgsql.Util.PGUtil.ValidateBackendMessageCode(BackendMessageCode code)
   at Npgsql.NpgsqlConnector.<ReadMessage>g__ReadMessageLong|200_0(NpgsqlConnector connector, Boolean async, DataRowLoadingMode dataRowLoadingMode, Boolean readingNotifications, Boolean isReadingPrependedMessage)
   at Npgsql.NpgsqlDataReader.<ReadMessage>g__ReadMessageSequential|45_0(NpgsqlConnector connector, Boolean async)
   at Npgsql.NpgsqlDataReader.Read(Boolean async, CancellationToken cancellationToken)
   at Npgsql.NpgsqlDataReader.Read()
   at Dapper.SqlMapper.QueryImpl[T](IDbConnection cnn, CommandDefinition command, Type effectiveType)+MoveNext() in /_/Dapper/SqlMapper.cs:line 1100
   at System.Collections.Generic.List`1..ctor(IEnumerable`1 collection)
   at System.Linq.Enumerable.ToList[TSource](IEnumerable`1 source)
   at Dapper.SqlMapper.Query[T](IDbConnection cnn, String sql, Object param, IDbTransaction transaction, Boolean buffered, Nullable`1 commandTimeout, Nullable`1 commandType) in /_/Dapper/SqlMapper.cs:line 725
   at CollectionsBenchmark.GetMostActiveVisistors.DataLoad() in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/Program.cs:line 220
   at BenchmarkDotNet.Autogenerated.Runnable_5.WorkloadActionNoUnroll(Int64 invokeCount) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/f03f4492-eb05-4dff-b8d5-34420fbc6e01.notcs:line 4512
   at BenchmarkDotNet.Engines.Engine.RunIteration(IterationData data)
   at BenchmarkDotNet.Engines.EngineFactory.Jit(Engine engine, Int32 jitIndex, Int32 invokeCount, Int32 unrollFactor)
   at BenchmarkDotNet.Engines.EngineFactory.CreateReadyToRun(EngineParameters engineParameters)
   at BenchmarkDotNet.Autogenerated.Runnable_5.Run(IHost host, String benchmarkName) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/f03f4492-eb05-4dff-b8d5-34420fbc6e01.notcs:line 3840
   --- End of inner exception stack trace ---
   at System.RuntimeMethodHandle.InvokeMethod(Object target, Object[] arguments, Signature sig, Boolean constructor, Boolean wrapExceptions)
   at System.Reflection.RuntimeMethodInfo.Invoke(Object obj, BindingFlags invokeAttr, Binder binder, Object[] parameters, CultureInfo culture)
   at System.Reflection.MethodBase.Invoke(Object obj, Object[] parameters)
   at BenchmarkDotNet.Autogenerated.UniqueProgramName.AfterAssemblyLoadingAttached(String[] args) in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/f03f4492-eb05-4dff-b8d5-34420fbc6e01/f03f4492-eb05-4dff-b8d5-34420fbc6e01.notcs:line 54
// AfterAll
ExitCode != 0
// Benchmark Process 581650 has exited with code 255
No more Benchmark runs will be launched as NO measurements were obtained from the previous run!


// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 367.699 μs, StdErr = 1.396 μs (0.38%), N = 3, StdDev = 2.419 μs
Min = 365.259 μs, Q1 = 366.500 μs, Median = 367.741 μs, Q3 = 368.919 μs, Max = 370.096 μs
IQR = 2.418 μs, LowerFence = 362.872 μs, UpperFence = 372.546 μs
ConfidenceInterval = [323.571 μs; 411.826 μs] (CI 99.9%), Margin = 44.127 μs (12.00% of Mean)
Skewness = -0.02, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[365.229 μs ; 372.297 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.LinqJoin_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 466.208 μs, StdErr = 1.689 μs (0.36%), N = 3, StdDev = 2.925 μs
Min = 463.850 μs, Q1 = 464.572 μs, Median = 465.293 μs, Q3 = 467.387 μs, Max = 469.481 μs
IQR = 2.815 μs, LowerFence = 460.348 μs, UpperFence = 471.610 μs
ConfidenceInterval = [412.848 μs; 519.568 μs] (CI 99.9%), Margin = 53.360 μs (11.45% of Mean)
Skewness = 0.28, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[461.188 μs ; 472.143 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 415.986 μs, StdErr = 1.430 μs (0.34%), N = 3, StdDev = 2.476 μs
Min = 413.732 μs, Q1 = 414.660 μs, Median = 415.589 μs, Q3 = 417.113 μs, Max = 418.637 μs
IQR = 2.452 μs, LowerFence = 410.982 μs, UpperFence = 420.791 μs
ConfidenceInterval = [370.811 μs; 461.161 μs] (CI 99.9%), Margin = 45.175 μs (10.86% of Mean)
Skewness = 0.16, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[411.479 μs ; 418.807 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.385 ms, StdErr = 0.005 ms (0.35%), N = 3, StdDev = 0.009 ms
Min = 1.375 ms, Q1 = 1.381 ms, Median = 1.388 ms, Q3 = 1.390 ms, Max = 1.391 ms
IQR = 0.008 ms, LowerFence = 1.369 ms, UpperFence = 1.402 ms
ConfidenceInterval = [1.230 ms; 1.540 ms] (CI 99.9%), Margin = 0.155 ms (11.20% of Mean)
Skewness = -0.32, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.367 ms ; 1.399 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 5.795 ms, StdErr = 0.023 ms (0.40%), N = 3, StdDev = 0.040 ms
Min = 5.756 ms, Q1 = 5.774 ms, Median = 5.792 ms, Q3 = 5.815 ms, Max = 5.837 ms
IQR = 0.040 ms, LowerFence = 5.713 ms, UpperFence = 5.875 ms
ConfidenceInterval = [5.056 ms; 6.534 ms] (CI 99.9%), Margin = 0.739 ms (12.75% of Mean)
Skewness = 0.06, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[5.719 ms ; 5.873 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-PXFCZS : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |       Mean |     Error |   StdDev |
|---------------------- |-----------:|----------:|---------:|
|              LinqJoin |   367.7 μs |  44.13 μs |  2.42 μs |
|   LinqJoin_LinkedList |   466.2 μs |  53.36 μs |  2.92 μs |
|             MergeJoin |   416.0 μs |  45.17 μs |  2.48 μs |
|            NestedLoop | 1,384.7 μs | 155.08 μs |  8.50 μs |
| NestedLoop_LinkedList | 5,795.0 μs | 738.58 μs | 40.48 μs |
|              DataLoad |         NA |        NA |       NA |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-PXFCZS(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 μs   : 1 Microsecond (0.000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:28 (28.6 sec), executed benchmarks: 6

Global total time: 00:00:32 (32.21 sec), executed benchmarks: 6
// * Artifacts cleanup *
