// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 1.7s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31
// command took 2.59s and exited with 0
// ***** Done, took 00:00:04 (4.41 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.RunInSQL: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "a76993a1-1aec-4ce6-9080-bf4c537f3e31.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/a76993a1-1aec-4ce6-9080-bf4c537f3e31/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-SNRUQN(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadActual  14: 256 op, 1491.00 ns, 5.8242 ns/op
OverheadActual  15: 256 op, 1242.00 ns, 4.8516 ns/op
OverheadActual  16: 256 op, 1421.00 ns, 5.5508 ns/op
OverheadActual  17: 256 op, 1296.00 ns, 5.0625 ns/op
OverheadActual  18: 256 op, 1693.00 ns, 6.6133 ns/op
OverheadActual  19: 256 op, 1404.00 ns, 5.4844 ns/op
OverheadActual  20: 256 op, 1469.00 ns, 5.7383 ns/op

WorkloadWarmup   1: 256 op, 603380954.00 ns, 2.3570 ms/op

// BeforeActualRun
WorkloadActual   1: 256 op, 547616245.00 ns, 2.1391 ms/op
WorkloadActual   2: 256 op, 574971389.00 ns, 2.2460 ms/op
WorkloadActual   3: 256 op, 575893894.00 ns, 2.2496 ms/op

// AfterActualRun
WorkloadResult   1: 256 op, 547614842.00 ns, 2.1391 ms/op
WorkloadResult   2: 256 op, 574969986.00 ns, 2.2460 ms/op
WorkloadResult   3: 256 op, 575892491.00 ns, 2.2496 ms/op

// AfterAll
// Benchmark Process 503447 has exited with code 0

Mean = 2.212 ms, StdErr = 0.036 ms (1.64%), N = 3, StdDev = 0.063 ms
Min = 2.139 ms, Q1 = 2.193 ms, Median = 2.246 ms, Q3 = 2.248 ms, Max = 2.250 ms
IQR = 0.055 ms, LowerFence = 2.110 ms, UpperFence = 2.331 ms
ConfidenceInterval = [1.067 ms; 3.357 ms] (CI 99.9%), Margin = 1.145 ms (51.77% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.008 ms, StdErr = 0.024 ms (2.42%), N = 3, StdDev = 0.042 ms
Min = 0.980 ms, Q1 = 0.984 ms, Median = 0.987 ms, Q3 = 1.022 ms, Max = 1.056 ms
IQR = 0.038 ms, LowerFence = 0.926 ms, UpperFence = 1.079 ms
ConfidenceInterval = [0.238 ms; 1.778 ms] (CI 99.9%), Margin = 0.770 ms (76.42% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[0.980 ms ; 1.056 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.303 ms, StdErr = 0.031 ms (2.35%), N = 3, StdDev = 0.053 ms
Min = 1.265 ms, Q1 = 1.273 ms, Median = 1.281 ms, Q3 = 1.323 ms, Max = 1.364 ms
IQR = 0.050 ms, LowerFence = 1.199 ms, UpperFence = 1.397 ms
ConfidenceInterval = [0.335 ms; 2.272 ms] (CI 99.9%), Margin = 0.969 ms (74.31% of Mean)
Skewness = 0.34, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.216 ms ; 1.321 ms) | @@
[1.321 ms ; 1.412 ms) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 19.877 ms, StdErr = 0.423 ms (2.13%), N = 3, StdDev = 0.732 ms
Min = 19.215 ms, Q1 = 19.483 ms, Median = 19.751 ms, Q3 = 20.208 ms, Max = 20.664 ms
IQR = 0.724 ms, LowerFence = 18.397 ms, UpperFence = 21.294 ms
ConfidenceInterval = [6.518 ms; 33.236 ms] (CI 99.9%), Margin = 13.359 ms (67.21% of Mean)
Skewness = 0.17, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[18.817 ms ; 20.150 ms) | @@
[20.150 ms ; 21.330 ms) | @
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 83.988 ms, StdErr = 1.767 ms (2.10%), N = 3, StdDev = 3.061 ms
Min = 81.970 ms, Q1 = 82.227 ms, Median = 82.484 ms, Q3 = 84.997 ms, Max = 87.510 ms
IQR = 2.770 ms, LowerFence = 78.071 ms, UpperFence = 89.153 ms
ConfidenceInterval = [28.137 ms; 139.839 ms] (CI 99.9%), Margin = 55.851 ms (66.50% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[81.954 ms ; 87.526 ms) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = ; GC = 
There are not any results runs

GetMostActiveVisistors.RunInSQL: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 2.212 ms, StdErr = 0.036 ms (1.64%), N = 3, StdDev = 0.063 ms
Min = 2.139 ms, Q1 = 2.193 ms, Median = 2.246 ms, Q3 = 2.248 ms, Max = 2.250 ms
IQR = 0.055 ms, LowerFence = 2.110 ms, UpperFence = 2.331 ms
ConfidenceInterval = [1.067 ms; 3.357 ms] (CI 99.9%), Margin = 1.145 ms (51.77% of Mean)
Skewness = -0.38, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[2.137 ms ; 2.251 ms) | @@@
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-BIWSMV : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |      Mean |      Error |    StdDev |
|---------------------- |----------:|-----------:|----------:|
|              LinqJoin |  1.008 ms |  0.7702 ms | 0.0422 ms |
|             MergeJoin |  1.303 ms |  0.9685 ms | 0.0531 ms |
|            NestedLoop | 19.877 ms | 13.3588 ms | 0.7322 ms |
| NestedLoop_LinkedList | 83.988 ms | 55.8505 ms | 3.0614 ms |
|              DataLoad |        NA |         NA |        NA |
|              RunInSQL |  2.212 ms |  1.1450 ms | 0.0628 ms |

Benchmarks with issues:
  GetMostActiveVisistors.DataLoad: Job-BIWSMV(IterationCount=3, LaunchCount=1, WarmupCount=1)

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ms   : 1 Millisecond (0.001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:24 (24.44 sec), executed benchmarks: 6

Global total time: 00:00:28 (28.86 sec), executed benchmarks: 6
// * Artifacts cleanup *
