// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
// start dotnet restore  /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 1.33s and exited with 0
// start dotnet build -c Release  --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102
// command took 2.2s and exited with 0
// ***** Done, took 00:00:03 (3.64 sec)   *****
// Found 6 benchmarks:
//   GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.LinqJoin_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.MergeJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.NestedLoop_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
//   GetMostActiveVisistors.DataLoad: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)

// **************************
// Benchmark: GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.LinqJoin" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 0 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-XKODJV(IterationCount=3, LaunchCount=1, WarmupCount=1)

WorkloadPilot   17: 1048576 op, 302982650.00 ns, 288.9468 ns/op
WorkloadPilot   18: 2097152 op, 556702612.00 ns, 265.4565 ns/op

OverheadWarmup   1: 2097152 op, 3456792.00 ns, 1.6483 ns/op
OverheadWarmup   2: 2097152 op, 4033547.00 ns, 1.9233 ns/op
OverheadWarmup   3: 2097152 op, 4022827.00 ns, 1.9182 ns/op
OverheadWarmup   4: 2097152 op, 3679745.00 ns, 1.7546 ns/op
OverheadWarmup   5: 2097152 op, 3936578.00 ns, 1.8771 ns/op
OverheadWarmup   6: 2097152 op, 4453391.00 ns, 2.1235 ns/op
OverheadWarmup   7: 2097152 op, 3728037.00 ns, 1.7777 ns/op

OverheadActual   1: 2097152 op, 3763320.00 ns, 1.7945 ns/op
OverheadActual   2: 2097152 op, 3770553.00 ns, 1.7979 ns/op
OverheadActual   3: 2097152 op, 3851274.00 ns, 1.8364 ns/op
OverheadActual   4: 2097152 op, 4149433.00 ns, 1.9786 ns/op
OverheadActual   5: 2097152 op, 3753411.00 ns, 1.7898 ns/op
OverheadActual   6: 2097152 op, 3707792.00 ns, 1.7680 ns/op
OverheadActual   7: 2097152 op, 3927010.00 ns, 1.8725 ns/op
OverheadActual   8: 2097152 op, 3954142.00 ns, 1.8855 ns/op
OverheadActual   9: 2097152 op, 3618222.00 ns, 1.7253 ns/op
OverheadActual  10: 2097152 op, 4073424.00 ns, 1.9424 ns/op
OverheadActual  11: 2097152 op, 4271066.00 ns, 2.0366 ns/op
OverheadActual  12: 2097152 op, 3725838.00 ns, 1.7766 ns/op
OverheadActual  13: 2097152 op, 3779306.00 ns, 1.8021 ns/op
OverheadActual  14: 2097152 op, 3855874.00 ns, 1.8386 ns/op
OverheadActual  15: 2097152 op, 4020932.00 ns, 1.9173 ns/op
OverheadActual  16: 2097152 op, 3665664.00 ns, 1.7479 ns/op

WorkloadWarmup   1: 2097152 op, 551798783.00 ns, 263.1182 ns/op

// BeforeActualRun
WorkloadActual   1: 2097152 op, 548721096.00 ns, 261.6506 ns/op
WorkloadActual   2: 2097152 op, 566952471.00 ns, 270.3440 ns/op
WorkloadActual   3: 2097152 op, 550264661.00 ns, 262.3866 ns/op

// AfterActualRun
WorkloadResult   1: 2097152 op, 544905806.00 ns, 259.8313 ns/op
WorkloadResult   2: 2097152 op, 563137181.00 ns, 268.5247 ns/op
WorkloadResult   3: 2097152 op, 546449371.00 ns, 260.5674 ns/op

// AfterAll
// Benchmark Process 584801 has exited with code 0

Mean = 262.974 ns, StdErr = 2.783 ns (1.06%), N = 3, StdDev = 4.821 ns
Min = 259.831 ns, Q1 = 260.199 ns, Median = 260.567 ns, Q3 = 264.546 ns, Max = 268.525 ns
IQR = 4.347 ns, LowerFence = 253.679 ns, UpperFence = 271.066 ns
ConfidenceInterval = [175.026 ns; 350.923 ns] (CI 99.9%), Margin = 87.948 ns (33.44% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2

// **************************
// Benchmark: GetMostActiveVisistors.DataLoad: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet "c6e56315-3549-4710-8bf2-a03a7f4b5102.dll" --benchmarkName "CollectionsBenchmark.GetMostActiveVisistors.DataLoad" --job "IterationCount=3, LaunchCount=1, WarmupCount=1" --benchmarkId 5 in /home/nikita/RiderProjects/CollectionsBenchmark/CollectionsBenchmark/bin/Release/netcoreapp3.1/c6e56315-3549-4710-8bf2-a03a7f4b5102/bin/Release/netcoreapp3.1
Failed to set up high priority. Make sure you have the right permissions. Message: Permission denied
// BeforeAnythingElse

// Benchmark Process Environment Information:
// Runtime=.NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
// GC=Concurrent Workstation
// Job: Job-MMBPMM(IterationCount=3, LaunchCount=1, WarmupCount=1)

OverheadJitting  1: 1 op, 224194.00 ns, 224.1940 us/op
WorkloadJitting  1: 1 op, 1845658.00 ns, 1.8457 ms/op

OverheadJitting  2: 16 op, 298565.00 ns, 18.6603 us/op
WorkloadJitting  2: 16 op, 8599268.00 ns, 537.4543 us/op

WorkloadPilot    1: 16 op, 6306628.00 ns, 394.1642 us/op
WorkloadPilot    2: 32 op, 12569618.00 ns, 392.8006 us/op
WorkloadPilot    3: 64 op, 26362782.00 ns, 411.9185 us/op
WorkloadPilot    4: 128 op, 50991141.00 ns, 398.3683 us/op
WorkloadPilot    5: 256 op, 107443763.00 ns, 419.7022 us/op
WorkloadPilot    6: 512 op, 144430725.00 ns, 282.0913 us/op
WorkloadPilot    7: 1024 op, 316301072.00 ns, 308.8878 us/op
WorkloadPilot    8: 2048 op, 447377691.00 ns, 218.4461 us/op
WorkloadPilot    9: 4096 op, 914158649.00 ns, 223.1833 us/op

OverheadWarmup   1: 4096 op, 11601.00 ns, 2.8323 ns/op
OverheadWarmup   2: 4096 op, 7536.00 ns, 1.8398 ns/op
OverheadWarmup   3: 4096 op, 7530.00 ns, 1.8384 ns/op
OverheadWarmup   4: 4096 op, 7654.00 ns, 1.8687 ns/op
OverheadWarmup   5: 4096 op, 7575.00 ns, 1.8494 ns/op
OverheadWarmup   6: 4096 op, 7684.00 ns, 1.8760 ns/op
OverheadWarmup   7: 4096 op, 7422.00 ns, 1.8120 ns/op

OverheadActual   1: 4096 op, 7591.00 ns, 1.8533 ns/op
OverheadActual   2: 4096 op, 7584.00 ns, 1.8516 ns/op
OverheadActual   3: 4096 op, 7667.00 ns, 1.8718 ns/op
OverheadActual   4: 4096 op, 7245.00 ns, 1.7688 ns/op
OverheadActual   5: 4096 op, 7296.00 ns, 1.7812 ns/op
OverheadActual   6: 4096 op, 7244.00 ns, 1.7686 ns/op
OverheadActual   7: 4096 op, 7220.00 ns, 1.7627 ns/op
OverheadActual   8: 4096 op, 7198.00 ns, 1.7573 ns/op
OverheadActual   9: 4096 op, 7277.00 ns, 1.7766 ns/op
OverheadActual  10: 4096 op, 7216.00 ns, 1.7617 ns/op
OverheadActual  11: 4096 op, 7428.00 ns, 1.8135 ns/op
OverheadActual  12: 4096 op, 7208.00 ns, 1.7598 ns/op
OverheadActual  13: 4096 op, 7062.00 ns, 1.7241 ns/op
OverheadActual  14: 4096 op, 7299.00 ns, 1.7820 ns/op
OverheadActual  15: 4096 op, 7658.00 ns, 1.8696 ns/op

WorkloadWarmup   1: 4096 op, 986762249.00 ns, 240.9088 us/op

// BeforeActualRun
WorkloadActual   1: 4096 op, 998393146.00 ns, 243.7483 us/op
WorkloadActual   2: 4096 op, 965597465.00 ns, 235.7416 us/op
WorkloadActual   3: 4096 op, 940162132.00 ns, 229.5318 us/op

// AfterActualRun
WorkloadResult   1: 4096 op, 998385869.00 ns, 243.7466 us/op
WorkloadResult   2: 4096 op, 965590188.00 ns, 235.7398 us/op
WorkloadResult   3: 4096 op, 940154855.00 ns, 229.5300 us/op

// AfterAll
// Benchmark Process 584820 has exited with code 0

Mean = 236.339 μs, StdErr = 4.115 μs (1.74%), N = 3, StdDev = 7.127 μs
Min = 229.530 μs, Q1 = 232.635 μs, Median = 235.740 μs, Q3 = 239.743 μs, Max = 243.747 μs
IQR = 7.108 μs, LowerFence = 221.972 μs, UpperFence = 250.406 μs
ConfidenceInterval = [106.312 μs; 366.365 μs] (CI 99.9%), Margin = 130.026 μs (55.02% of Mean)
Skewness = 0.08, Kurtosis = 0.67, MValue = 2

// ***** BenchmarkRunner: Finish  *****

// * Export *
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.csv
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report-github.md
  BenchmarkDotNet.Artifacts/results/CollectionsBenchmark.GetMostActiveVisistors-report.html

// * Detailed results *
GetMostActiveVisistors.LinqJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 788.169 ns, StdErr = 1.416 ns (0.18%), N = 3, StdDev = 2.452 ns
Min = 785.424 ns, Q1 = 787.183 ns, Median = 788.942 ns, Q3 = 789.542 ns, Max = 790.142 ns
IQR = 2.359 ns, LowerFence = 783.645 ns, UpperFence = 793.080 ns
ConfidenceInterval = [743.440 ns; 832.898 ns] (CI 99.9%), Margin = 44.729 ns (5.68% of Mean)
Skewness = -0.28, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[783.193 ns ; 792.373 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.LinqJoin_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 1.182 μs, StdErr = 0.001 μs (0.07%), N = 3, StdDev = 0.001 μs
Min = 1.181 μs, Q1 = 1.182 μs, Median = 1.183 μs, Q3 = 1.183 μs, Max = 1.184 μs
IQR = 0.001 μs, LowerFence = 1.180 μs, UpperFence = 1.185 μs
ConfidenceInterval = [1.156 μs; 1.209 μs] (CI 99.9%), Margin = 0.026 μs (2.21% of Mean)
Skewness = -0.3, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[1.179 μs ; 1.185 μs) | @@@
---------------------------------------------------

GetMostActiveVisistors.MergeJoin: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 270.857 ns, StdErr = 0.918 ns (0.34%), N = 3, StdDev = 1.590 ns
Min = 269.044 ns, Q1 = 270.278 ns, Median = 271.512 ns, Q3 = 271.763 ns, Max = 272.014 ns
IQR = 1.485 ns, LowerFence = 268.051 ns, UpperFence = 273.990 ns
ConfidenceInterval = [241.855 ns; 299.858 ns] (CI 99.9%), Margin = 29.001 ns (10.71% of Mean)
Skewness = -0.34, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[267.597 ns ; 273.461 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 52.727 ns, StdErr = 0.009 ns (0.02%), N = 3, StdDev = 0.016 ns
Min = 52.710 ns, Q1 = 52.720 ns, Median = 52.730 ns, Q3 = 52.735 ns, Max = 52.740 ns
IQR = 0.015 ns, LowerFence = 52.697 ns, UpperFence = 52.758 ns
ConfidenceInterval = [52.443 ns; 53.010 ns] (CI 99.9%), Margin = 0.284 ns (0.54% of Mean)
Skewness = -0.19, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[52.696 ns ; 52.755 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.NestedLoop_LinkedList: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 262.974 ns, StdErr = 2.783 ns (1.06%), N = 3, StdDev = 4.821 ns
Min = 259.831 ns, Q1 = 260.199 ns, Median = 260.567 ns, Q3 = 264.546 ns, Max = 268.525 ns
IQR = 4.347 ns, LowerFence = 253.679 ns, UpperFence = 271.066 ns
ConfidenceInterval = [175.026 ns; 350.923 ns] (CI 99.9%), Margin = 87.948 ns (33.44% of Mean)
Skewness = 0.37, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[259.791 ns ; 268.565 ns) | @@@
---------------------------------------------------

GetMostActiveVisistors.DataLoad: Job-RCWHVM(IterationCount=3, LaunchCount=1, WarmupCount=1)
Runtime = .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT; GC = Concurrent Workstation
Mean = 236.339 μs, StdErr = 4.115 μs (1.74%), N = 3, StdDev = 7.127 μs
Min = 229.530 μs, Q1 = 232.635 μs, Median = 235.740 μs, Q3 = 239.743 μs, Max = 243.747 μs
IQR = 7.108 μs, LowerFence = 221.972 μs, UpperFence = 250.406 μs
ConfidenceInterval = [106.312 μs; 366.365 μs] (CI 99.9%), Margin = 130.026 μs (55.02% of Mean)
Skewness = 0.08, Kurtosis = 0.67, MValue = 2
-------------------- Histogram --------------------
[226.149 μs ; 239.121 μs) | @@
[239.121 μs ; 250.233 μs) | @
---------------------------------------------------

// * Summary *

BenchmarkDotNet=v0.12.1, OS=ubuntu 20.04
Intel Core i5-6500 CPU 3.20GHz (Skylake), 1 CPU, 4 logical and 4 physical cores
.NET Core SDK=3.1.403
  [Host]     : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT
  Job-RCWHVM : .NET Core 3.1.9 (CoreCLR 4.700.20.47201, CoreFX 4.700.20.47203), X64 RyuJIT

IterationCount=3  LaunchCount=1  WarmupCount=1  

|                Method |          Mean |          Error |       StdDev |
|---------------------- |--------------:|---------------:|-------------:|
|              LinqJoin |     788.17 ns |      44.729 ns |     2.452 ns |
|   LinqJoin_LinkedList |   1,182.40 ns |      26.120 ns |     1.432 ns |
|             MergeJoin |     270.86 ns |      29.001 ns |     1.590 ns |
|            NestedLoop |      52.73 ns |       0.284 ns |     0.016 ns |
| NestedLoop_LinkedList |     262.97 ns |      87.948 ns |     4.821 ns |
|              DataLoad | 236,338.78 ns | 130,026.310 ns | 7,127.181 ns |

// * Legends *
  Mean   : Arithmetic mean of all measurements
  Error  : Half of 99.9% confidence interval
  StdDev : Standard deviation of all measurements
  1 ns   : 1 Nanosecond (0.000000001 sec)

// ***** BenchmarkRunner: End *****
// ** Remained 0 benchmark(s) to run **
Run time: 00:00:31 (31.92 sec), executed benchmarks: 6

Global total time: 00:00:35 (35.56 sec), executed benchmarks: 6
// * Artifacts cleanup *
